Number of clusters (k),Threshold (midpoint),Merge Linkage Distance,Δ Linkage Distance
2,3.326277271865286,3.20821167922785,0.14015397627376824
3,3.1381346910909658,3.0680577029540816,0.2776062398470245
4,2.9292545830305694,2.790451463107057,0.20278767798223862
5,2.6890576241159376,2.5876637851248185,0.2502418710631624
6,2.4625428495932375,2.337421914061656,0.0255507419862
7,2.324646543068556,2.311871172075456,0.10643367894454281
8,2.258654332603185,2.2054374931309133,0.038466316523309896
9,2.1862043348692586,2.1669711766076034,
